Dec 08 11:15:41.364 INFO: manager: 1.2.2
Dec 08 11:15:41.364 INFO: manager: Copyright (C) 2003-2020, Noriaki Ando and OpenRTM development team,
Dec 08 11:15:41.364 INFO: manager:   Intelligent Systems Research Institute, AIST,
Dec 08 11:15:41.364 INFO: manager: Copyright (C) 2020, Noriaki Ando and OpenRTM development team,
Dec 08 11:15:41.364 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Dec 08 11:15:41.364 INFO: manager:   All right reserved.
Dec 08 11:15:41.364 INFO: manager: Manager starting.
Dec 08 11:15:41.364 INFO: manager: Starting local logging.
Dec 08 11:15:41.370 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Dec 08 11:15:41.370 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Dec 08 11:15:41.370 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Dec 08 11:15:41.370 WARNING: ManagerServant: Master manager not found
Dec 08 11:15:41.370 INFO: LocalServiceAdmin: All the local services are enabled.
Dec 08 11:15:41.372 INFO: ec_base: setRate(1000000.000000) done
Dec 08 11:15:41.372 INFO: ec_base: setRate(1000.000000) done
Dec 08 11:15:41.372 INFO: HumanProtection0: 1 execution context was created.
Dec 08 11:15:41.372 INFO: HumanProtection0: Initial active configuration set is default.
Dec 08 11:15:51.329 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Dec 08 11:15:51.392 INFO: ManagerServant: Master manager not found
Dec 08 11:16:01.423 INFO: ManagerServant: Master manager not found
Dec 08 11:16:11.438 INFO: ManagerServant: Master manager not found
Dec 08 11:16:21.453 INFO: ManagerServant: Master manager not found
Dec 08 11:16:31.469 INFO: ManagerServant: Master manager not found
Dec 08 11:16:41.486 INFO: ManagerServant: Master manager not found
Dec 08 11:16:51.501 INFO: ManagerServant: Master manager not found
Dec 08 11:17:01.518 INFO: ManagerServant: Master manager not found
Dec 08 11:17:11.534 INFO: ManagerServant: Master manager not found
Dec 08 11:17:21.550 INFO: ManagerServant: Master manager not found
Dec 08 11:17:31.564 INFO: ManagerServant: Master manager not found
Dec 08 11:17:41.578 INFO: ManagerServant: Master manager not found
Dec 08 11:17:51.592 INFO: ManagerServant: Master manager not found
Dec 08 11:18:01.609 INFO: ManagerServant: Master manager not found
Dec 08 11:18:11.624 INFO: ManagerServant: Master manager not found
Dec 08 11:18:21.638 INFO: ManagerServant: Master manager not found
Dec 08 11:18:31.652 INFO: ManagerServant: Master manager not found
Dec 08 11:18:41.667 INFO: ManagerServant: Master manager not found
Dec 08 11:18:51.682 INFO: ManagerServant: Master manager not found
Dec 08 11:19:01.696 INFO: ManagerServant: Master manager not found
Dec 08 11:19:11.710 INFO: ManagerServant: Master manager not found
Dec 08 11:19:21.724 INFO: ManagerServant: Master manager not found
Dec 08 11:19:31.738 INFO: ManagerServant: Master manager not found
Dec 08 11:19:41.753 INFO: ManagerServant: Master manager not found
Dec 08 11:19:51.769 INFO: ManagerServant: Master manager not found
Dec 08 11:20:01.784 INFO: ManagerServant: Master manager not found
Dec 08 11:20:11.799 INFO: ManagerServant: Master manager not found
Dec 08 11:20:21.814 INFO: ManagerServant: Master manager not found
Dec 08 11:20:31.829 INFO: ManagerServant: Master manager not found
Dec 08 11:20:41.844 INFO: ManagerServant: Master manager not found
Dec 08 11:20:51.859 INFO: ManagerServant: Master manager not found
Dec 08 11:21:01.874 INFO: ManagerServant: Master manager not found
Dec 08 11:21:11.889 INFO: ManagerServant: Master manager not found
Dec 08 11:21:21.904 INFO: ManagerServant: Master manager not found
Dec 08 11:21:31.920 INFO: ManagerServant: Master manager not found
Dec 08 11:21:41.934 INFO: ManagerServant: Master manager not found
Dec 08 11:21:51.947 INFO: ManagerServant: Master manager not found
Dec 08 11:22:01.961 INFO: ManagerServant: Master manager not found
Dec 08 11:22:11.974 INFO: ManagerServant: Master manager not found
Dec 08 11:22:21.989 INFO: ManagerServant: Master manager not found
Dec 08 11:22:32.003 INFO: ManagerServant: Master manager not found
Dec 08 11:22:42.016 INFO: ManagerServant: Master manager not found
Dec 08 11:22:52.031 INFO: ManagerServant: Master manager not found
Dec 08 11:23:02.047 INFO: ManagerServant: Master manager not found
Dec 08 11:23:12.062 INFO: ManagerServant: Master manager not found
Dec 08 11:23:22.077 INFO: ManagerServant: Master manager not found
Dec 08 11:23:32.091 INFO: ManagerServant: Master manager not found
Dec 08 11:23:42.106 INFO: ManagerServant: Master manager not found
Dec 08 11:23:52.121 INFO: ManagerServant: Master manager not found
Dec 08 11:24:02.136 INFO: ManagerServant: Master manager not found
Dec 08 11:24:12.163 INFO: ManagerServant: Master manager not found
Dec 08 11:24:22.202 INFO: ManagerServant: Master manager not found
Dec 08 11:24:32.237 INFO: ManagerServant: Master manager not found
Dec 08 11:24:42.275 INFO: ManagerServant: Master manager not found
Dec 08 11:24:52.313 INFO: ManagerServant: Master manager not found
